katakana,true_language,predicted_language,correct
タックケース,English,English,True
バーレッスン,English,English,True
カムアウト,English,English,True
モールファブリック,English,English,True
フリートーキング,English,English,True
ブティックホテル,English,English,True
オプションサービス,English,English,True
クチュリエ,French,French,True
ブラマンジェ,French,French,True
ヒンターランド,German,English,False
キュロット,French,French,True
ギロチン,French,German,False
ガールズグループ,English,English,True
デフラグツール,English,French,False
スクリプター,English,English,True
スカラベ,French,French,True
コレクトマニア,English,English,True
シューズボックス,English,English,True
スペリングミス,English,English,True
グルテン,German,German,True
ソースリスト,English,French,False
キックボード,English,English,True
パンリュスティック,French,French,True
レッセフェールレッセパッセ,French,French,True
メスピペット,German,German,True
パティシエ,French,French,True
フリーコール,English,English,True
メルシー,French,English,False
フランコフォニー,French,French,True
ツーバス,English,English,True
インディーズビデオ,English,English,True
カウンターストップ,English,English,True
ラストステージ,English,English,True
スピンターン,English,English,True
シャッターチャンス,English,English,True
バッティングセンター,English,English,True
ランガージュ,French,French,True
セーフティードライバー,English,English,True
ホイールキャップ,English,English,True
ニューヨークダウ,English,English,True
リードオンリーメンバー,English,English,True
スタンディングバー,English,English,True
クリシェ,French,French,True
ビールス,German,English,False
クレーマー,English,French,False
ダブルカフス,English,English,True
コスメフリーク,English,English,True
ジャーポット,English,English,True
トロリンガー,German,English,False
アーベント,German,German,True
ホームドレス,English,English,True
ケミカルリサイクル,English,English,True
カタラーゼ,German,German,True
フリーアルバイター,English,German,False
フレーバーコーヒー,English,English,True
ロスタイム,English,English,True
ハルツ,German,German,True
ウェーデルン,German,German,True
アプリケーションフォーマット,English,English,True
ワットパフォーマンス,English,English,True
シニアカー,English,English,True
コンクリートプレーサー,English,English,True
ホテルヘルス,English,English,True
パピエコレ,French,French,True
サイバーテロ,English,English,True
ステンカラー,French,English,False
デッサン,French,French,True
グループトーク,English,English,True
バレーシューズ,English,English,True
オータムナル,English,English,True
スティックパン,English,English,True
ライブビューイング,English,English,True
ジャンボタクシー,English,English,True
ボリュームゾーン,English,English,True
フリカデル,French,French,True
チクルス,German,German,True
グランプリ,French,French,True
アビタシオン,French,French,True
テルペン,German,German,True
ホスゲン,German,German,True
ノーチップ,English,English,True
ミルクホール,English,French,False
ランチエ,French,French,True
スマイルマーク,English,English,True
ゲルピン,German,German,True
メタモルフォーゼ,German,German,True
システムキッチン,English,English,True
ヘアメイク,English,English,True
イデー,German,English,False
アミューズグール,French,French,True
ポリサージュ,French,French,True
フラワーデザイン,English,German,False
デシネ,French,French,True
ノークラッチ,English,English,True
アミ,French,French,True
オープンカフェ,English,English,True
ガソリンスタンド,English,English,True
アバンゲール,French,French,True
ポンレヴェック,French,English,False
ロールボストン,English,English,True
ルネサンス,French,French,True
タイムセール,English,English,True
バックバンド,English,English,True
ノエル,French,French,True
スメルハラスメント,English,English,True
ディスコテーク,French,English,False
トリュフ,French,French,True
ミルクティー,English,English,True
タイムリープ,English,English,True
キャロット,French,French,True
エージングハラスメント,English,English,True
レクリエーションゲーム,English,English,True
ガイヤルド,French,French,True
マニキュアフィンガー,English,English,True
カルテル,German,German,True
バスケットケース,English,English,True
オフタイム,English,English,True
スコッチテリア,English,English,True
アンパッサン,French,French,True
ピクプールノワール,French,French,True
モーゼル,German,French,False
ヴァルディギエ,French,French,True
コメディカル,English,English,True
リーフパイ,English,English,True
サニタリーボックス,English,English,True
ノイローゼ,German,German,True
パ,French,German,False
フランボワーズ,French,French,True
ステートアマチュア,English,English,True
ダイニングキッチン,English,English,True
マルサンヌ,French,French,True
ベンジン,German,English,False
サブノート,English,English,True
バックギア,English,English,True
ウォルフラム,German,French,False
チェンジレバー,English,English,True
レフェリーストップ,English,English,True
ターザンロープ,English,English,True
グラドル,English,French,False
ハイキングコース,English,English,True
シェイプアップ,English,English,True
ニーハイソックス,English,English,True
トレインジャック,English,English,True
ピノノワール,French,French,True
アイデアプロセッサ,English,English,True
ソルフェージュ,French,French,True
ピストバイク,French,English,False
ノスタルジー,French,French,True
ノンシャラン,French,English,False
コックドール,French,French,True
ボクサーサウンド,English,English,True
グロッケ,German,German,True
キャッシュサービスコーナー,English,English,True
ジオラマ,French,German,False
クーロン,French,French,True
フルコース,English,English,True
アカハラ,English,French,False
オントロギー,German,German,True
ドリンクバー,English,English,True
ルーペ,German,French,False
デコルテ,French,French,True
クリスチャニア,German,German,True
グループリーグ,English,English,True
モーニングセット,English,English,True
ハイウェーカード,English,English,True
ボリューミー,English,English,True
ブーランジェリー,French,French,True
リングアウト,English,English,True
インターネットプロバイダ,English,English,True
インサイドワーク,English,English,True
ゲルト,German,German,True
ヒポコンデリー,German,English,False
デマゴギー,German,German,True
ライトツナ,English,English,True
サブテーマ,English,English,True
チタン,German,German,True
ヘレ,French,French,True
キラーチューン,English,English,True
ソバット,French,French,True
イオン,German,English,False
デスボイス,English,English,True
スイス,French,English,False
フライドポテト,English,English,True
ビターチョコレート,English,English,True
ダストボックス,English,English,True
ロイヤルミルクティー,English,German,False
ルー,French,English,False
プロテーゼ,German,German,True
スープカレー,English,English,True
ネグリジェ,French,French,True
アースコンシャス,English,English,True
アリュエット,French,French,True
プルリング,English,German,False
ランニングマシン,English,English,True
シャルキュトリー,French,French,True
ブラックハッカー,English,English,True
タレント,English,English,True
コロン,French,French,True
オーバーグラス,English,English,True
ラクトアイス,English,English,True
インスタントココア,English,English,True
ルンゲ,German,French,False
ベストエイト,English,English,True
ブラッシュボール,English,English,True
グラウブルグンダー,German,German,True
アンチテーゼ,German,German,True
マジックミラー,English,English,True
クロックマダム,French,French,True
ビスチェ,French,French,True
ライブカメラ,English,English,True
ラテルネ,German,French,False
キャッシュベルト,English,English,True
ムール,French,French,True
パイシート,English,English,True
サバイバルゲーム,English,English,True
ママン,French,French,True
ジャストクロック,English,English,True
ウォーキングマシン,English,English,True
フォックスフェイス,English,English,True
ギフトボックス,English,English,True
ブラックチョコレート,English,English,True
パジャマコール,English,French,False
シェフ,French,French,True
レペルトワール,French,French,True
サバット,French,English,False
ピノグリ,French,French,True
マリネ,French,French,True
エンディングノート,English,English,True
ムールヴェードル,French,French,True
レイパー,English,English,True
ユーフォーキャッチャー,English,English,True
ヘクタール,French,French,True
マカベウ,French,English,False
カイトグラフィー,English,German,False
ミンチボール,English,English,True
ワンコインバス,English,English,True
アンドゥイユ,French,French,True
ランウェイショー,English,English,True
マカロニグラタン,French,French,True
マクラメ,French,French,True
ビバーク,French,English,False
ファンスキー,English,English,True
リュージュ,French,French,True
ヒールアウト,English,English,True
オムニバスアルバム,English,French,False
バール,English,French,False
ウエス,English,English,True
ランディングバーン,English,English,True
ヴルスト,German,German,True
ナヴァラン,French,French,True
ボクサーパンツ,English,English,True
ブリオッシュ,French,French,True
オートマティスム,French,French,True
ドライブマップ,English,English,True
クレオール,French,French,True
サーベルタイガー,English,English,True
カモフラージュ,French,French,True
ラポール,French,French,True
プロージット,German,English,False
ルームランナー,English,English,True
ラブドール,English,English,True
センターオーバー,English,English,True
ゲームセット,English,English,True
ノワゼット,French,French,True
アンチノミー,German,French,False
ルージュ,French,French,True
デートコース,English,English,True
シュヴァルツリースリング,German,German,True
ナポリタン,French,German,False
モバイラー,English,English,True
バイリンギャル,English,English,True
カラーギャング,English,English,True
ローレグ,English,English,True
ジャパニーズスマイル,English,English,True
ツベルクリン,German,German,True
コンビニスト,English,English,True
アスピーテ,German,French,False
カーマニア,English,English,True
モニターツアー,English,English,True
プチフール,French,French,True
テーマパーク,German,German,True
トロンプルイユ,French,English,False
デザインナイフ,English,English,True
サムチェック,English,English,True
テーゼ,German,German,True
スリーカード,English,English,True
ワンプレート,English,English,True
ルーフバルコニー,English,English,True
メジャーデビュー,English,English,True
フルコミット,English,English,True
ホームクラス,English,English,True
アップダウン,English,English,True
アントロポロギー,German,French,False
カルチャーセンター,English,English,True
シミュルタネイスム,French,French,True
インテル,English,English,True
アンダースロー,English,English,True
アウトポケット,English,English,True
マルベック,French,French,True
リンクコーデ,English,English,True
エンゲージブルー,English,English,True
フランベ,French,French,True
モバイルノート,English,English,True
マッチングアプリ,English,English,True
アーモンドプードル,French,French,True
アパッシュ,French,French,True
ステップメール,English,English,True
インテリアバール,English,English,True
コインロッカーベイビー,English,English,True
リレーコラム,English,English,True
ツッカー,German,English,False
ネットメディア,English,English,True
カードローン,English,English,True
シャッセ,French,French,True
パンチドランク,English,English,True
マンツーマンレッスン,English,French,False
ホリゾント,German,English,False
デマゴーグ,German,French,False
エバチップ,English,English,True
セキュリティポリス,English,English,True
ナイスオン,English,English,True
ネットワークビジネス,English,English,True
バルカローレ,German,French,False
ランデブー,French,French,True
シャンソニエ,French,French,True
クリュ,French,French,True
エコファーマー,English,English,True
バックドロップ,English,English,True
オナホール,English,German,False
ポテトフライ,English,English,True
クロッケー,French,French,True
グルメ,French,French,True
エポワス,French,German,False
ツーブロック,English,English,True
ジェマイユ,French,French,True
